Time(s),CH1(V)
-4.99e-07,11.414
-4.98e-07,11.4968
-4.97e-07,11.3726
-4.96e-07,11.4968
-4.95e-07,11.3726
-4.940000000000001e-07,11.4968
-4.93e-07,11.4968
-4.92e-07,11.3726
-4.91e-07,11.3726
-4.9e-07,11.4968
-4.89e-07,11.4968
-4.88e-07,11.3726
-4.87e-07,11.3726
-4.86e-07,11.4968
-4.85e-07,11.4968
-4.84e-07,11.3726
-4.83e-07,11.4968
-4.82e-07,11.3726
-4.81e-07,11.4968
-4.8e-07,11.3726
-4.79e-07,11.4968
-4.78e-07,11.3726
-4.77e-07,11.3726
-4.7600000000000003e-07,11.4968
-4.75e-07,11.4968
-4.74e-07,11.3312
-4.73e-07,11.4968
-4.72e-07,11.3726
-4.71e-07,11.4968
-4.7e-07,11.3726
-4.69e-07,11.3726
-4.68e-07,11.4968
-4.67e-07,11.3726
-4.66e-07,11.4968
-4.65e-07,11.4968
-4.64e-07,11.3726
-4.63e-07,11.4968
-4.62e-07,11.3726
-4.61e-07,11.4968
-4.6e-07,11.3726
-4.59e-07,11.4968
-4.58e-07,11.3726
-4.5700000000000003e-07,11.3726
-4.56e-07,11.4968
-4.55e-07,11.3726
-4.54e-07,11.5382
-4.53e-07,11.4968
-4.52e-07,11.3726
-4.51e-07,11.3726
-4.5000000000000003e-07,11.5382
-4.49e-07,11.5382
-4.48e-07,11.3726
-4.47e-07,11.3726
-4.46e-07,11.5382
-4.4500000000000003e-07,11.4968
-4.44e-07,11.3726
-4.43e-07,11.3726
-4.42e-07,11.4968
-4.41e-07,11.3726
-4.4e-07,11.4968
-4.39e-07,11.414
-4.38e-07,11.4554
-4.37e-07,11.4968
-4.36e-07,11.3726
-4.35e-07,11.4968
-4.34e-07,11.3726
-4.33e-07,11.4968
-4.32e-07,11.3726
-4.31e-07,11.4968
-4.3e-07,11.3726
-4.29e-07,11.4968
-4.28e-07,11.3726
-4.27e-07,11.3726
-4.2600000000000003e-07,11.4968
-4.25e-07,11.3726
-4.24e-07,11.5382
-4.23e-07,11.3726
-4.22e-07,11.4968
-4.2099999999999997e-07,11.3726
-4.2e-07,11.4968
-4.1900000000000003e-07,11.3726
-4.18e-07,11.4968
-4.17e-07,11.4968
-4.16e-07,11.3726
-4.15e-07,11.4968
-4.14e-07,11.3726
-4.13e-07,11.4968
-4.12e-07,11.3726
-4.11e-07,11.4968
-4.1e-07,11.3726
-4.09e-07,11.4968
-4.08e-07,11.3726
-4.07e-07,11.4968
-4.06e-07,11.3726
-4.05e-07,11.414
-4.04e-07,11.4968
-4.03e-07,11.4968
-4.02e-07,11.3726
-4.01e-07,11.3726
-4e-07,11.4554
-3.99e-07,11.4968
-3.98e-07,11.3726
-3.97e-07,11.3726
-3.96e-07,11.4968
-3.9500000000000003e-07,11.4968
-3.94e-07,11.3726
-3.93e-07,11.4968
-3.92e-07,11.3726
-3.91e-07,11.4968
-3.8999999999999997e-07,11.3726
-3.89e-07,11.3726
-3.8800000000000003e-07,11.4968
-3.87e-07,11.414
-3.86e-07,11.4968
-3.85e-07,11.414
-3.84e-07,11.4968
-3.83e-07,11.4968
-3.82e-07,11.3726
-3.81e-07,11.3726
-3.8e-07,11.4968
-3.79e-07,11.3726
-3.78e-07,11.4968
-3.77e-07,11.4968
-3.76e-07,11.3726
-3.75e-07,11.4968
-3.74e-07,11.3726
-3.7299999999999997e-07,11.4968
-3.72e-07,11.3726
-3.7100000000000003e-07,11.4968
-3.7e-07,11.3726
-3.69e-07,11.414
-3.68e-07,11.4968
-3.67e-07,11.4968
-3.6599999999999997e-07,11.414
-3.65e-07,11.4968
-3.6400000000000003e-07,11.3726
-3.63e-07,11.4968
-3.62e-07,11.3726
-3.61e-07,11.4968
-3.6e-07,11.3726
-3.5899999999999997e-07,11.3726
-3.58e-07,11.4968
-3.5700000000000003e-07,11.4968
-3.56e-07,11.3726
-3.55e-07,11.4968
-3.54e-07,11.3726
-3.53e-07,11.4968
-3.52e-07,11.3726
-3.51e-07,11.3726
-3.5000000000000004e-07,11.4968
-3.4899999999999996e-07,11.3726
-3.48e-07,11.4968
-3.47e-07,11.3726
-3.46e-07,11.4968
-3.45e-07,11.4968
-3.44e-07,11.414
-3.43e-07,11.5382
-3.4199999999999997e-07,11.3726
-3.41e-07,11.4968
-3.4000000000000003e-07,11.3726
-3.39e-07,11.3726
-3.38e-07,11.4968
-3.37e-07,11.4968
-3.36e-07,11.414
-3.3499999999999997e-07,11.3726
-3.34e-07,11.4968
-3.3300000000000003e-07,11.4968
-3.32e-07,11.3726
-3.31e-07,11.4968
-3.3e-07,11.3726
-3.29e-07,11.3726
-3.2799999999999997e-07,11.4968
-3.27e-07,11.4968
-3.2600000000000003e-07,11.414
-3.2499999999999996e-07,11.3726
-3.24e-07,11.4968
-3.23e-07,11.4968
-3.22e-07,11.3726
-3.21e-07,11.4968
-3.2e-07,11.3726
-3.19e-07,11.4968
-3.1799999999999996e-07,11.3726
-3.17e-07,11.3726
-3.16e-07,11.4968
-3.15e-07,11.3726
-3.14e-07,11.4554
-3.13e-07,11.3726
-3.12e-07,11.4968
-3.1099999999999997e-07,11.3726
-3.1e-07,11.4968
-3.0900000000000003e-07,11.3726
-3.08e-07,11.4968
-3.07e-07,11.3726
-3.06e-07,11.4968
-3.05e-07,11.4968
-3.0399999999999997e-07,11.3726
-3.03e-07,11.3726
-3.0200000000000003e-07,11.4968
-3.01e-07,11.3726
-3e-07,11.4968
-2.99e-07,11.3726
-2.98e-07,11.4968
-2.9699999999999997e-07,11.3726
-2.96e-07,11.4968
-2.9500000000000003e-07,11.4968
-2.9399999999999996e-07,11.3726
-2.93e-07,11.4968
-2.92e-07,11.414
-2.91e-07,11.414
-2.9e-07,11.4968
-2.89e-07,11.3726
-2.88e-07,11.4968
-2.8699999999999996e-07,11.4968
-2.86e-07,11.3726
-2.85e-07,11.4554
-2.84e-07,11.3726
-2.83e-07,11.4968
-2.82e-07,11.3726
-2.81e-07,11.3726
-2.7999999999999997e-07,11.4968
-2.79e-07,11.414
-2.7800000000000003e-07,11.4968
-2.77e-07,11.3726
-2.76e-07,11.4968
-2.75e-07,11.4968
-2.74e-07,11.3726
-2.7299999999999997e-07,11.4968
-2.72e-07,11.414
-2.7100000000000003e-07,11.414
-2.6999999999999996e-07,11.4968
-2.69e-07,11.3726
-2.68e-07,11.4968
-2.67e-07,11.4968
-2.6599999999999997e-07,11.3726
-2.65e-07,11.4968
-2.64e-07,11.3726
-2.6299999999999996e-07,11.4968
-2.62e-07,11.3726
-2.61e-07,11.4968
-2.6e-07,11.3726
-2.59e-07,11.3726
-2.58e-07,11.4968
-2.57e-07,11.3726
-2.56e-07,11.4968
-2.55e-07,11.4968
-2.5399999999999997e-07,11.3726
-2.53e-07,11.3312
-2.52e-07,11.4968
-2.51e-07,11.4968
-2.5e-07,11.3726
-2.4899999999999997e-07,11.3726
-2.48e-07,11.4968
